0,00000E+0	-1,10372E-1	0,00000E+0	-5,04704E+1
2,50000E-5	-4,59548E-2	4,00000E+4	-5,34511E+1
5,00000E-5	1,10305E-1	8,00000E+4	-8,76842E+1
7,50000E-5	4,84391E-2	1,20000E+5	-8,78614E+1
1,00000E-4	-1,04632E-1	1,60000E+5	-9,57259E+1
1,25000E-4	-4,34036E-2	2,00000E+5	-9,05830E+1
1,50000E-4	1,02014E-1	2,40000E+5	-9,41093E+1
1,75000E-4	3,95099E-2	2,80000E+5	-9,54594E+1
2,00000E-4	-8,10336E-2	3,20000E+5	-9,58369E+1
2,25000E-4	-3,00099E-2	3,60000E+5	-9,89357E+1
2,50000E-4	6,88486E-2	4,00000E+5	-9,10270E+1
2,75000E-4	2,86674E-2	4,40000E+5	-9,98641E+1
3,00000E-4	-5,10572E-2	4,80000E+5	-9,90341E+1
3,25000E-4	-2,04429E-2	5,20000E+5	-9,89759E+1
3,50000E-4	4,26989E-2	5,60000E+5	-1,14614E+2
3,75000E-4	1,78249E-2	6,00000E+5	-9,98480E+1
4,00000E-4	-3,00099E-2	6,40000E+5	-1,01495E+2
4,25000E-4	-1,02382E-2	6,80000E+5	-1,00113E+2
4,50000E-4	2,16516E-2	7,20000E+5	-1,02375E+2
4,75000E-4	8,25791E-3	7,60000E+5	-1,07345E+2
5,00000E-4	-1,27894E-2	8,00000E+5	-1,01793E+2
5,25000E-4	-3,22243E-3	8,40000E+5	-1,02769E+2
5,50000E-4	1,39981E-2	8,80000E+5	-1,02935E+2
5,75000E-4	6,98232E-3	9,20000E+5	-1,12364E+2
6,00000E-4	-1,47028E-2	9,60000E+5	-1,02097E+2
6,25000E-4	-5,77362E-3	1,00000E+6	-9,73155E+1
6,50000E-4	2,48406E-2	1,04000E+6	-9,66374E+1
6,75000E-4	1,33603E-2	1,08000E+6	-1,00479E+2
7,00000E-4	-3,25611E-2	1,12000E+6	-1,05353E+2
7,25000E-4	-1,47028E-2	1,16000E+6	-7,92986E+1
7,50000E-4	4,78013E-2	1,20000E+6	-7,32148E+1
7,75000E-4	2,29272E-2	1,24000E+6	-7,89445E+1
8,00000E-4	-5,93485E-2	1,28000E+6	-9,97824E+1
8,25000E-4	-2,74587E-2	1,32000E+6	-1,02931E+2
8,50000E-4	7,58643E-2	1,36000E+6	-1,10476E+2
8,75000E-4	3,95099E-2	1,40000E+6	-1,04113E+2
9,00000E-4	-9,31517E-2	1,44000E+6	-1,12168E+2
9,25000E-4	-4,21280E-2	1,48000E+6	-1,08650E+2
9,50000E-4	1,05841E-1	1,52000E+6	-1,05997E+2
9,75000E-4	4,26989E-2	1,56000E+6	-1,02901E+2
1,00000E-3	-1,06545E-1	1,60000E+6	-1,04099E+2
1,02500E-3	-4,27658E-2	1,64000E+6	-1,10395E+2
1,05000E-3	1,09030E-1	1,68000E+6	-1,10636E+2
1,07500E-3	4,90769E-2	1,72000E+6	-1,08607E+2
1,10000E-3	-1,05908E-1	1,76000E+6	-1,04586E+2
1,12500E-3	-4,59548E-2	1,80000E+6	-9,86690E+1
1,15000E-3	1,07754E-1	1,84000E+6	-1,02854E+2
1,17500E-3	4,65257E-2	1,88000E+6	-1,13744E+2
1,20000E-3	-9,76163E-2	1,92000E+6	-1,07308E+2
1,22500E-3	-3,51123E-2	1,96000E+6	-1,09931E+2
1,25000E-3	8,35179E-2	2,00000E+6	-1,02859E+2
1,27500E-3	3,50454E-2	2,04000E+6	-1,09861E+2
1,30000E-3	-6,89155E-2	2,08000E+6	-1,06550E+2
1,32500E-3	-2,80965E-2	2,12000E+6	-1,05284E+2
1,35000E-3	6,05572E-2	2,16000E+6	-1,09631E+2
1,37500E-3	2,67540E-2	2,20000E+6	-1,01426E+2
1,40000E-3	-4,85060E-2	2,24000E+6	-1,04997E+2
1,42500E-3	-1,98051E-2	2,28000E+6	-1,04587E+2
1,45000E-3	4,33367E-2	2,32000E+6	-1,03713E+2
1,47500E-3	1,91004E-2	2,36000E+6	-1,22154E+2
1,50000E-3	-3,19233E-2	2,40000E+6	-1,05416E+2
1,52500E-3	-1,15138E-2	2,44000E+6	-1,15377E+2
1,55000E-3	3,18564E-2	2,48000E+6	-1,01512E+2
1,57500E-3	1,46359E-2	2,52000E+6	-1,03001E+2
1,60000E-3	-2,93721E-2	2,56000E+6	-1,09821E+2
1,62500E-3	-1,08760E-2	2,60000E+6	-1,02025E+2
1,65000E-3	3,63210E-2	2,64000E+6	-1,07966E+2
1,67500E-3	1,84627E-2	2,68000E+6	-1,02199E+2
1,70000E-3	-4,14902E-2	2,72000E+6	-9,89728E+1
1,72500E-3	-1,72540E-2	2,76000E+6	-6,87300E+1
1,75000E-3	5,16281E-2	2,80000E+6	-6,28511E+1
1,77500E-3	2,29272E-2	2,84000E+6	-6,88694E+1
1,80000E-3	-5,67973E-2	2,88000E+6	-1,10665E+2
1,82500E-3	-2,49075E-2	2,92000E+6	-1,09714E+2
1,85000E-3	7,01242E-2	2,96000E+6	-1,09074E+2
1,87500E-3	3,50454E-2	3,00000E+6	-1,06062E+2
1,90000E-3	-7,72068E-2	3,04000E+6	-1,12229E+2
1,92500E-3	-3,70256E-2	3,08000E+6	-1,17110E+2
1,95000E-3	9,18093E-2	3,12000E+6	-1,05449E+2
1,97500E-3	4,07855E-2	3,16000E+6	-1,11527E+2
2,00000E-3	-8,99628E-2	3,20000E+6	-1,11722E+2
2,02500E-3	-3,44745E-2	3,24000E+6	-1,08679E+2
2,05000E-3	9,05337E-2	3,28000E+6	-1,04451E+2
