1,02500E-3	-1,48640E-1	1,51648E-2	4,04310E-3	4,10000E+2	-8,93876E+1	-1,01829E+2	-1,01347E+2
1,05000E-3	-8,61360E-2	2,23981E-3	3,62264E-3	4,20000E+2	-8,83905E+1	-9,71035E+1	-9,69026E+1
1,07500E-3	1,68983E-1	1,72464E-2	3,24523E-3	4,30000E+2	-8,94499E+1	-9,87051E+1	-9,86694E+1
1,10000E-3	9,49982E-2	2,47180E-3	2,91934E-3	4,40000E+2	-1,00464E+2	-1,07275E+2	-1,06670E+2
1,12500E-3	-1,62672E-1	1,66083E-2	2,65211E-3	4,50000E+2	-8,54486E+1	-1,11414E+2	-1,10788E+2
1,15000E-3	-8,16714E-2	2,12638E-3	2,44922E-3	4,60000E+2	-8,66241E+1	-1,07073E+2	-1,06816E+2
1,17500E-3	1,51124E-1	1,54350E-2	2,31476E-3	4,70000E+2	-9,32036E+1	-1,06951E+2	-1,07303E+2
1,20000E-3	8,28801E-2	2,15920E-3	2,25115E-3	4,80000E+2	-9,57611E+1	-1,15970E+2	-1,16701E+2
1,22500E-3	-1,34609E-1	1,37531E-2	2,25909E-3	4,90000E+2	-9,61924E+1	-1,04832E+2	-1,04835E+2
1,25000E-3	-7,33800E-2	1,91290E-3	2,33754E-3	5,00000E+2	-9,29916E+1	-1,08079E+2	-1,07986E+2
1,27500E-3	1,25612E-1	1,28387E-2	2,48381E-3	5,10000E+2	-9,48240E+1	-1,08454E+2	-1,08485E+2
1,30000E-3	6,75730E-2	1,76263E-3	2,69356E-3	5,20000E+2	-9,09216E+1	-1,06633E+2	-1,06600E+2
1,32500E-3	-1,08459E-1	1,10895E-2	2,96097E-3	5,30000E+2	-8,35572E+1	-1,13106E+2	-1,12999E+2
1,35000E-3	-5,55217E-2	1,44918E-3	3,27887E-3	5,40000E+2	-8,45972E+1	-1,17160E+2	-1,16938E+2
1,37500E-3	9,24471E-2	9,45590E-3	3,63889E-3	5,50000E+2	-8,75444E+1	-1,15028E+2	-1,14856E+2
1,40000E-3	4,46123E-2	1,16516E-3	4,03170E-3	5,60000E+2	-9,53834E+1	-1,15700E+2	-1,15279E+2
1,42500E-3	-6,50887E-2	6,66005E-3	4,44723E-3	5,70000E+2	-8,77538E+1	-1,16236E+2	-1,17461E+2
1,45000E-3	-3,19233E-2	8,34279E-4	4,87489E-3	5,80000E+2	-8,80970E+1	-1,12594E+2	-1,12903E+2
1,47500E-3	4,90769E-2	5,02356E-3	5,30386E-3	5,90000E+2	-9,44297E+1	-1,11497E+2	-1,12445E+2
1,50000E-3	2,73918E-2	7,16302E-4	5,72332E-3	6,00000E+2	-9,24922E+1	-1,04843E+2	-1,04859E+2
1,52500E-3	-3,31989E-2	3,39955E-3	6,12274E-3	6,10000E+2	-9,22084E+1	-1,06436E+2	-1,06087E+2
1,55000E-3	-1,66162E-2	4,34789E-4	6,49213E-3	6,20000E+2	-9,83358E+1	-9,97039E+1	-9,97297E+1
1,57500E-3	2,80296E-2	2,87130E-3	6,82230E-3	6,30000E+2	-9,52368E+1	-9,57418E+1	-9,57216E+1
1,60000E-3	1,46359E-2	3,83211E-4	7,10505E-3	6,40000E+2	-9,09226E+1	-1,01351E+2	-1,01478E+2
1,62500E-3	-1,85295E-2	1,89885E-3	7,33345E-3	6,50000E+2	-9,11435E+1	-1,00324E+2	-1,00459E+2
